_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 12 FFAlpha 0.0105 1.11 medium LOW
oibtrd 1 FFAlpha -0.001594 -1.32 big LOW
oibtrd 2 FFAlpha -0.003881 -2.01 big LOW
oibtrd 4 FFAlpha -0.006530 -1.93 big LOW
oibtrd 6 FFAlpha -0.008710 -1.76 big LOW
oibtrd 8 FFAlpha -0.0102 -1.72 big LOW
oibtrd 10 FFAlpha -0.0116 -1.65 big LOW
oibtrd 12 FFAlpha -0.0127 -1.69 big LOW
oibtrd 1 FFAlpha -0.001077 -0.67 NA LOW
oibtrd 1 RawReturn -0.000758 -0.57 NA LOW
oibtrd 2 FFAlpha -0.004103 -1.95 NA LOW
oibtrd 2 RawReturn -0.003490 -1.75 NA LOW
oibtrd 4 FFAlpha -0.006584 -1.51 NA LOW
oibtrd 4 RawReturn -0.004255 -1.06 NA LOW
oibtrd 6 FFAlpha -0.006994 -1.07 NA LOW
oibtrd 6 RawReturn -0.003967 -0.59 NA LOW
oibtrd 8 FFAlpha -0.004521 -0.66 NA LOW
oibtrd 8 RawReturn -0.004368 -0.59 NA LOW
oibtrd 10 FFAlpha -0.001781 -0.24 NA LOW
oibtrd 10 RawReturn -0.004291 -0.54 NA LOW
oibtrd 12 FFAlpha -0.001682 -0.18 NA LOW
oibtrd 12 RawReturn -0.003744 -0.38 NA LOW
oibtrd 1 FFAlpha 0.002028 2.80 small HIGH
oibtrd 2 FFAlpha 0.002748 2.25 small HIGH
oibtrd 4 FFAlpha 0.002973 1.25 small HIGH
oibtrd 6 FFAlpha 0.001923 0.57 small HIGH
oibtrd 8 FFAlpha -0.000842 -0.21 small HIGH
oibtrd 10 FFAlpha -0.002666 -0.46 small HIGH
oibtrd 12 FFAlpha -0.003918 -0.54 small HIGH
oibtrd 1 FFAlpha 0.000560 1.10 medium HIGH
oibtrd 2 FFAlpha 0.000638 0.71 medium HIGH
oibtrd 4 FFAlpha 0.001665 1.16 medium HIGH
oibtrd 6 FFAlpha 0.001607 0.69 medium HIGH
oibtrd 8 FFAlpha 0.0000476 0.02 medium HIGH
