_OIB_ _k_ Model Estimate tValue CLASSVAR_GRP spreadgrp
oibtrd 12 RawReturn -0.0122 -0.92 NA LOW
oibtrd 1 FFAlpha 0.000988 0.60 small HIGH
oibtrd 2 FFAlpha -0.000626 -0.20 small HIGH
oibtrd 4 FFAlpha 0.001905 0.46 small HIGH
oibtrd 6 FFAlpha 0.001274 0.25 small HIGH
oibtrd 8 FFAlpha 0.003325 0.43 small HIGH
oibtrd 10 FFAlpha 0.008824 1.31 small HIGH
oibtrd 12 FFAlpha 0.0138 2.61 small HIGH
oibtrd 1 FFAlpha 0.000820 0.95 medium HIGH
oibtrd 2 FFAlpha 0.002778 1.92 medium HIGH
oibtrd 4 FFAlpha 0.003056 1.22 medium HIGH
oibtrd 6 FFAlpha 0.003594 1.41 medium HIGH
oibtrd 8 FFAlpha 0.001788 0.85 medium HIGH
oibtrd 10 FFAlpha 0.003454 1.12 medium HIGH
oibtrd 12 FFAlpha 0.001491 0.73 medium HIGH
oibtrd 1 FFAlpha -6.946E-6 -0.01 big HIGH
oibtrd 2 FFAlpha -0.000159 -0.09 big HIGH
oibtrd 4 FFAlpha 0.002008 0.83 big HIGH
oibtrd 6 FFAlpha 0.001205 0.42 big HIGH
oibtrd 8 FFAlpha 0.001268 0.25 big HIGH
oibtrd 10 FFAlpha 0.000310 0.06 big HIGH
oibtrd 12 FFAlpha -0.006696 -1.22 big HIGH
oibtrd 1 FFAlpha 0.000754 0.69 NA HIGH
oibtrd 1 RawReturn 0.000616 0.57 NA HIGH
oibtrd 2 FFAlpha 0.000517 0.38 NA HIGH
oibtrd 2 RawReturn 0.000897 0.70 NA HIGH
oibtrd 4 FFAlpha 0.002529 1.16 NA HIGH
oibtrd 4 RawReturn 0.004924 2.24 NA HIGH
oibtrd 6 FFAlpha 0.003711 1.17 NA HIGH
oibtrd 6 RawReturn 0.007684 2.56 NA HIGH
oibtrd 8 FFAlpha 0.002404 0.59 NA HIGH
oibtrd 8 RawReturn 0.006684 1.79 NA HIGH
oibtrd 10 FFAlpha 0.003042 0.72 NA HIGH
oibtrd 10 RawReturn 0.006469 1.45 NA HIGH
oibtrd 12 FFAlpha -0.001116 -0.23 NA HIGH
oibtrd 12 RawReturn 0.004642 0.91 NA HIGH
